TOTAL_SECONDS,SNIPPETS,through_put_rows,through_put_size
203,1,83495,8683472
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1695,33900
1,2,1,24
0,1,0,0
12,14,5583,89335
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,3,1,12
0,2,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
3,1,67745,22201840
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,2,0,0
1,1,0,0
0,1,0,0
0,1,0,0
1,1,1,16
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
5,11,0,0
0,1,0,0
1,1,1994,39880
2,1,1,44
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
4,12,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,2,1,12
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,88
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,60415,9441944
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,8,0,0
0,1,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,2,0,0
0,1,0,0
0,1,0,0
1,1,1,8
72,5,1058,557714
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,4,1,12
0,1,0,0
0,1,0,0
1,2,1,24
1,2,1,24
1,1,0,0
0,1,0,0
1,1,0,0
0,1,0,0
1,1,1,16
0,1,0,0
1,1,1,8
1,4,1,12
1,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,24
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,2075,41500
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1692,33840
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,3,35,4800
1,1,1,8
0,1,0,0
8,15,1,28
0,2,0,0
3,12,0,4
1,1,1,12
2,8,1,6
0,3,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
1,1,1,28
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
1,2,1,12
0,1,0,0
1,1,1,12
